instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;354135;7;2724;2749.6575;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;354135;8;2724;2749.6575;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;354135;9;2724;2745.9;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;839113;7;2724;2749.395;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;839113;8;2724;2749.395;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;839113;9;2724;2749.395;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;123452;7;2724;2748.495;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;123452;8;2724;2748.495;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;123452;9;2724;2748.495;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;4354512;7;2724;2752.02;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;4354512;8;2724;2752.1325;;;;;;;;;;
t_j50_m5.txt;0.4;0.75;60;4354512;9;2724;2742.3375;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;12345;7;3110;3137.2175;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;12345;8;3110;3137.2175;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;12345;9;3107;3134.63;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;435451;7;3103;3136.705;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;435451;8;3101;3124.37;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;435451;9;3093;3130.795;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;56162;7;3104;3134.0325;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;56162;8;3104;3134.0325;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;56162;9;3099;3130.1925;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;68813;7;3097;3127.5725;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;68813;8;3097;3127.5725;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;68813;9;3087;3114.165;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;368387;7;3106;3135.525;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;368387;8;3106;3135.525;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;368387;9;3096;3125.525;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;687619;7;3100;3140.8925;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;687619;8;3101;3120.59;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;687619;9;3101;3120.59;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;354135;7;3094;3125.3425;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;354135;8;3094;3125.3425;;;;;;;;;;
