instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
